LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,SalePrice
9550.0,7.0,1914.0,756.0,1717.0,2.0,140000.0
11300.0,,2013.0,1500.0,2900.0,3.0,370000.0
9500.0,6.0,1993.0,950.0,1550.0,2.0,175000.0
6120.0,6.0,1940.0,1040.0,1774.0,1.0,129900.0
8700.0,6.0,1988.0,1100.0,1800.0,1.0,190000.0
9700.0,7.0,2002.0,1050.0,1950.0,1.0,220000.0
9500.0,7.0,,980.0,1900.0,,210000.0
11500.0,7.0,2004.0,1200.0,2000.0,2.0,260000.0
9500.0,6.0,1990.0,950.0,1550.0,0.0,175000.0
9500.0,7.0,2000.0,980.0,1900.0,3.0,
11100.0,7.0,2003.0,1000.0,2100.0,2.0,240000.0
8800.0,6.0,2003.0,1300.0,2000.0,3.0,250000.0
9600.0,6.0,1977.0,1262.0,1262.0,3.0,181500.0
8800.0,7.0,1983.0,980.0,1700.0,2.0,200000.0
9900.0,7.0,2005.0,1100.0,1900.0,,230000.0
10000.0,7.0,1999.0,950.0,,3.0,210000.0
14000.0,9.0,2012.0,1300.0,,,
10084.0,5.0,1977.0,1686.0,1694.0,3.0,307000.0
10050.0,7.0,2010.0,1600.0,2600.0,2.0,
14115.0,5.0,1992.0,796.0,1362.0,3.0,143000.0
8900.0,7.0,2001.0,870.0,1700.0,3.0,225000.0
9100.0,8.0,2011.0,1000.0,1850.0,1.0,220000.0
10500.0,8.0,2005.0,1450.0,2500.0,3.0,310000.0
10800.0,8.0,2014.0,1400.0,2800.0,4.0,355000.0
9100.0,8.0,2010.0,1000.0,1850.0,2.0,220000.0
11300.0,9.0,2005.0,1500.0,2900.0,4.0,370000.0
10100.0,7.0,1995.0,1200.0,1750.0,1.0,205000.0
9600.0,6.0,1999.0,930.0,1650.0,2.0,200000.0
8900.0,7.0,2011.0,1120.0,,2.0,270000.0
9900.0,7.0,2007.0,1100.0,1900.0,2.0,230000.0
10084.0,5.0,1970.0,1686.0,1694.0,3.0,307000.0
8600.0,,1995.0,960.0,1650.0,3.0,180000.0
14000.0,9.0,2010.0,1300.0,2600.0,2.0,340000.0
12500.0,8.0,2002.0,1450.0,2100.0,2.0,275000.0
10050.0,7.0,2006.0,1600.0,2600.0,3.0,340000.0
11500.0,7.0,1998.0,1200.0,2000.0,3.0,260000.0
9100.0,6.0,2002.0,970.0,1850.0,3.0,210000.0
8600.0,6.0,2000.0,960.0,1650.0,3.0,180000.0
10084.0,5.0,1977.0,1686.0,1694.0,3.0,307000.0
13000.0,9.0,2007.0,1100.0,2400.0,3.0,320000.0
9400.0,7.0,2004.0,1080.0,1600.0,3.0,185000.0
10000.0,7.0,2002.0,950.0,2000.0,2.0,210000.0
9800.0,6.0,1983.0,1345.0,1600.0,2.0,195000.0
7420.0,7.0,1966.0,938.0,1372.0,1.0,118000.0
10084.0,5.0,,1686.0,1694.0,1.0,307000.0
,6.0,1995.0,930.0,1650.0,3.0,200000.0
9900.0,7.0,2007.0,1100.0,1900.0,,230000.0
7420.0,7.0,1964.0,938.0,1372.0,1.0,118000.0
8500.0,8.0,2006.0,1200.0,2300.0,2.0,245000.0
8700.0,7.0,1999.0,890.0,1800.0,1.0,230000.0
14000.0,9.0,2012.0,1300.0,2600.0,2.0,340000.0
14000.0,9.0,2004.0,1300.0,,4.0,340000.0
10382.0,7.0,1931.0,865.0,2090.0,0.0,200000.0
8500.0,8.0,2005.0,1200.0,2300.0,3.0,245000.0
11300.0,,2013.0,1500.0,2900.0,3.0,370000.0
13000.0,9.0,,1100.0,2400.0,,320000.0
11300.0,9.0,2011.0,1500.0,,3.0,370000.0
,7.0,2007.0,1056.0,1850.0,1.0,215000.0
9000.0,7.0,2007.0,1056.0,1850.0,1.0,215000.0
10500.0,8.0,,1450.0,2500.0,2.0,310000.0
9100.0,8.0,2014.0,1000.0,1850.0,1.0,220000.0
11500.0,7.0,1995.0,1200.0,2000.0,1.0,260000.0
10100.0,7.0,1999.0,1200.0,1750.0,1.0,205000.0
8500.0,8.0,2008.0,1200.0,2300.0,2.0,245000.0
10500.0,8.0,2009.0,1450.0,2500.0,4.0,310000.0
8700.0,6.0,1992.0,1100.0,1800.0,1.0,190000.0
10700.0,7.0,2010.0,,2050.0,3.0,265000.0
9700.0,7.0,2002.0,1050.0,1950.0,1.0,220000.0
7420.0,7.0,1964.0,938.0,1372.0,1.0,118000.0
9500.0,7.0,,980.0,1900.0,3.0,210000.0
9550.0,7.0,1918.0,756.0,1717.0,4.0,140000.0
9400.0,7.0,2003.0,1080.0,1600.0,2.0,185000.0
14260.0,8.0,2002.0,1145.0,2198.0,4.0,250000.0
8900.0,7.0,2003.0,1120.0,2200.0,2.0,270000.0
11500.0,7.0,,1200.0,2000.0,1.0,260000.0
8450.0,7.0,2000.0,856.0,,3.0,208500.0
11300.0,9.0,2012.0,1500.0,2900.0,3.0,370000.0
9100.0,6.0,1998.0,970.0,1850.0,1.0,210000.0
9550.0,7.0,,756.0,1717.0,4.0,140000.0
9100.0,6.0,2005.0,970.0,1850.0,1.0,210000.0
9000.0,7.0,2005.0,1056.0,1850.0,,215000.0
9200.0,8.0,2003.0,980.0,2200.0,2.0,265000.0
8800.0,7.0,1981.0,980.0,1700.0,1.0,200000.0
9500.0,7.0,1998.0,980.0,1900.0,2.0,210000.0
9000.0,7.0,2008.0,1056.0,,3.0,215000.0
15000.0,9.0,2005.0,1600.0,2700.0,4.0,330000.0
10500.0,8.0,2010.0,1450.0,2500.0,4.0,310000.0
8700.0,6.0,1991.0,1100.0,1800.0,1.0,190000.0
11300.0,9.0,2010.0,1500.0,2900.0,3.0,370000.0
8800.0,7.0,1987.0,980.0,1700.0,3.0,200000.0
9400.0,7.0,2002.0,1080.0,1600.0,3.0,185000.0
10084.0,5.0,1975.0,1686.0,,,307000.0
,8.0,2004.0,980.0,2200.0,2.0,265000.0
13000.0,8.0,2005.0,1450.0,2300.0,2.0,290000.0
14260.0,8.0,2001.0,1145.0,2198.0,4.0,250000.0
9500.0,7.0,1994.0,,1900.0,1.0,210000.0
9600.0,6.0,1977.0,1262.0,,2.0,181500.0
,,2006.0,1300.0,2600.0,2.0,340000.0
8900.0,7.0,2011.0,1120.0,2200.0,1.0,270000.0
9200.0,8.0,2008.0,980.0,2200.0,2.0,265000.0
10700.0,7.0,2010.0,1180.0,2050.0,2.0,265000.0
8500.0,8.0,2006.0,1200.0,2300.0,2.0,245000.0
10382.0,7.0,1931.0,,2090.0,1.0,200000.0
10050.0,7.0,2012.0,1600.0,2600.0,2.0,340000.0
8600.0,6.0,1999.0,960.0,1650.0,,180000.0
,7.0,2013.0,,2050.0,3.0,265000.0
9100.0,6.0,2001.0,970.0,1850.0,1.0,210000.0
9600.0,6.0,1976.0,1262.0,1262.0,1.0,181500.0
11100.0,7.0,2008.0,1000.0,2100.0,3.0,
9550.0,7.0,1918.0,756.0,1717.0,3.0,140000.0
7420.0,7.0,1969.0,938.0,1372.0,0.0,118000.0
9600.0,6.0,1973.0,1262.0,1262.0,1.0,181500.0
8700.0,7.0,1999.0,890.0,1800.0,2.0,230000.0
8900.0,7.0,2009.0,1120.0,2200.0,3.0,270000.0
10700.0,,2013.0,1180.0,2050.0,3.0,265000.0
8800.0,7.0,1981.0,980.0,1700.0,2.0,200000.0
10100.0,7.0,1996.0,1200.0,1750.0,3.0,205000.0
12000.0,6.0,2002.0,900.0,1750.0,2.0,190000.0
12000.0,8.0,2012.0,1400.0,2500.0,4.0,315000.0
8700.0,6.0,1984.0,990.0,1500.0,3.0,180000.0
8700.0,6.0,1987.0,1100.0,1900.0,3.0,220000.0
9400.0,7.0,2000.0,1080.0,1600.0,1.0,185000.0
9000.0,7.0,2002.0,1056.0,1850.0,1.0,215000.0
9600.0,6.0,1978.0,1262.0,1262.0,2.0,181500.0
9800.0,6.0,1984.0,1345.0,1600.0,1.0,195000.0
8800.0,7.0,1984.0,980.0,1700.0,3.0,200000.0
10382.0,7.0,1929.0,865.0,2090.0,1.0,200000.0
8900.0,7.0,2011.0,,2200.0,2.0,270000.0
9500.0,6.0,1997.0,950.0,1550.0,1.0,175000.0
,7.0,2002.0,1050.0,1950.0,3.0,220000.0
11500.0,7.0,2002.0,,2000.0,2.0,260000.0
8700.0,6.0,1977.0,,,2.0,180000.0
,7.0,2008.0,1120.0,2200.0,1.0,270000.0
13000.0,9.0,2011.0,1100.0,2400.0,4.0,320000.0
10050.0,,2012.0,1600.0,2600.0,3.0,340000.0
,7.0,2007.0,1600.0,2600.0,3.0,340000.0
9100.0,6.0,1999.0,970.0,1850.0,1.0,210000.0
9400.0,7.0,2000.0,1080.0,1600.0,3.0,185000.0
,,1971.0,1686.0,1694.0,1.0,307000.0
9000.0,7.0,2002.0,1056.0,1850.0,1.0,215000.0
8900.0,7.0,2010.0,1120.0,2200.0,2.0,270000.0
9700.0,7.0,2005.0,1050.0,1950.0,2.0,220000.0
14115.0,5.0,1995.0,,1362.0,3.0,143000.0
13000.0,8.0,2004.0,1450.0,2300.0,2.0,290000.0
10382.0,7.0,1933.0,865.0,2090.0,0.0,200000.0
8700.0,6.0,1985.0,1100.0,1800.0,2.0,190000.0
13000.0,8.0,2004.0,1450.0,2300.0,3.0,290000.0
12000.0,8.0,2013.0,1400.0,2500.0,3.0,315000.0
11250.0,7.0,2000.0,920.0,1786.0,2.0,223500.0
9000.0,7.0,2000.0,1056.0,1850.0,2.0,215000.0
8600.0,6.0,2000.0,960.0,1650.0,3.0,180000.0
9500.0,6.0,1998.0,950.0,1550.0,0.0,175000.0
11500.0,,1996.0,1200.0,2000.0,3.0,260000.0
8600.0,6.0,1996.0,960.0,1650.0,3.0,180000.0
10000.0,7.0,2001.0,950.0,2000.0,3.0,
11500.0,7.0,2000.0,1200.0,2000.0,2.0,260000.0
10382.0,7.0,1930.0,865.0,2090.0,1.0,200000.0
8700.0,6.0,1985.0,1100.0,1900.0,3.0,220000.0
8900.0,7.0,2005.0,870.0,1700.0,2.0,225000.0
14260.0,8.0,1997.0,1145.0,2198.0,4.0,
8700.0,6.0,1991.0,1100.0,1900.0,3.0,220000.0
8600.0,6.0,1998.0,960.0,1650.0,2.0,180000.0
8900.0,7.0,2011.0,1120.0,2200.0,2.0,270000.0
10382.0,7.0,1933.0,865.0,2090.0,2.0,200000.0
14000.0,9.0,2008.0,1300.0,2600.0,2.0,340000.0
12500.0,8.0,1993.0,1450.0,2100.0,3.0,275000.0
9900.0,7.0,2007.0,1100.0,1900.0,3.0,230000.0
10050.0,7.0,2007.0,1600.0,2600.0,3.0,340000.0
10700.0,7.0,2009.0,1180.0,,3.0,265000.0
10500.0,8.0,2008.0,1450.0,2500.0,4.0,310000.0
11250.0,7.0,1997.0,920.0,1786.0,2.0,223500.0
10800.0,8.0,2011.0,1400.0,2800.0,,355000.0
9100.0,6.0,2005.0,,1850.0,2.0,210000.0
8600.0,,1995.0,960.0,1650.0,1.0,180000.0
9400.0,7.0,2006.0,1080.0,1600.0,2.0,185000.0
11250.0,7.0,1999.0,920.0,1786.0,2.0,223500.0
8700.0,6.0,1985.0,1100.0,,3.0,190000.0
8700.0,7.0,2003.0,890.0,1800.0,2.0,230000.0
9700.0,7.0,2007.0,1050.0,1950.0,2.0,220000.0
,,2007.0,1100.0,2400.0,3.0,320000.0
14260.0,8.0,2002.0,1145.0,2198.0,2.0,250000.0
10084.0,5.0,1975.0,1686.0,1694.0,1.0,307000.0
11100.0,7.0,2004.0,1000.0,2100.0,1.0,240000.0
14115.0,5.0,1995.0,796.0,1362.0,1.0,143000.0
13000.0,,1998.0,1450.0,2300.0,4.0,290000.0
8450.0,7.0,2002.0,856.0,1710.0,3.0,208500.0
8900.0,7.0,2001.0,870.0,1700.0,1.0,225000.0
9100.0,6.0,2001.0,970.0,1850.0,3.0,210000.0
8800.0,6.0,2007.0,1300.0,2000.0,2.0,250000.0
14115.0,5.0,1993.0,796.0,1362.0,3.0,143000.0
10084.0,5.0,1973.0,1686.0,1694.0,1.0,307000.0
8700.0,7.0,2000.0,,1800.0,2.0,230000.0
11250.0,7.0,2000.0,920.0,1786.0,3.0,223500.0
6120.0,6.0,1935.0,1040.0,1774.0,2.0,129900.0
12800.0,8.0,2012.0,1650.0,2400.0,3.0,300000.0
11300.0,9.0,2013.0,1500.0,2900.0,3.0,370000.0
12300.0,9.0,2013.0,1600.0,3000.0,4.0,350000.0
8700.0,6.0,1994.0,1100.0,1900.0,2.0,220000.0
13000.0,9.0,2009.0,1100.0,2400.0,3.0,320000.0
11250.0,7.0,1997.0,920.0,1786.0,3.0,223500.0
10000.0,7.0,2000.0,950.0,2000.0,2.0,210000.0
9700.0,7.0,2005.0,1050.0,1950.0,2.0,220000.0
10800.0,8.0,2007.0,1400.0,2800.0,2.0,355000.0
9700.0,7.0,2004.0,1050.0,1950.0,3.0,220000.0
10050.0,7.0,2004.0,,2600.0,2.0,340000.0
9700.0,7.0,2002.0,,1950.0,2.0,220000.0
10084.0,5.0,1974.0,1686.0,1694.0,3.0,307000.0
11300.0,9.0,2013.0,1500.0,2900.0,4.0,370000.0
10050.0,7.0,2013.0,1600.0,2600.0,2.0,340000.0
9600.0,6.0,1978.0,1262.0,1262.0,,181500.0
9100.0,6.0,2001.0,970.0,1850.0,3.0,210000.0
10800.0,8.0,,1400.0,2800.0,2.0,355000.0
8700.0,7.0,2006.0,890.0,1800.0,2.0,
10000.0,7.0,2002.0,950.0,2000.0,2.0,210000.0
9100.0,6.0,1998.0,970.0,1850.0,1.0,210000.0
8900.0,7.0,2007.0,1120.0,2200.0,2.0,270000.0
8700.0,7.0,2006.0,890.0,1800.0,2.0,
7420.0,7.0,1964.0,938.0,1372.0,1.0,118000.0
9700.0,7.0,2004.0,1050.0,1950.0,3.0,220000.0
8900.0,7.0,2009.0,1120.0,2200.0,1.0,
